Total Count,Tweet
88364,RT @HillaryClinton: RT if you’re proud of Hillary tonight. #DebateNight #SheWon https://t.co/H7CJep7APX
84278,RT @CloydRivers: A fly landed on Hillary's face. Makes sense. Flies are attracted to pieces of shit. Merica. https://t.co/zGt2mgCB6A
53214,RT @Cameron: If you say you're voting for Hillary just to keep Trump out of office please watch this https://t.co/cFcztOMkFX
48476,"RT @realDonaldTrump: ""If you can't run your own house you certainly can't run the White House"" A statement made by Mrs. Obama about Crooked…"
48476,"RT @realDonaldTrump: ""If you can't run your own house you certainly can't run the White House"" A statement made by Mrs. Obama about Crooked…"
45242,"RT @realDonaldTrump: Wow, just came out on secret tape that Crooked Hillary wants to take in as many Syrians as possible. We cannot let thi…"
32403,"RT @realDonaldTrump: ""If you can't run your own house you certainly can't run the White House"" A statement made by Mrs. Obama about Crooked…"
18270,"RT @realDonaldTrump: 'Democratic operative caught on camera: Hillary PERSONALLY ordered 'Donald Duck' troll campaign that broke the law'
ht…"
18270,"RT @realDonaldTrump: 'Democratic operative caught on camera: Hillary PERSONALLY ordered 'Donald Duck' troll campaign that broke the law'
ht…"
18270,"RT @realDonaldTrump: 'Democratic operative caught on camera: Hillary PERSONALLY ordered 'Donald Duck' troll campaign that broke the law'
ht…"
17857,"RT @realDonaldTrump: ""{Crooked Hillary Clinton} created this mess, and she knows it."" 
#DrainTheSwamp https://t.co/3cBNYjl5CD https://t.co/…"
16810,"RT @realDonaldTrump: WikiLeaks reveals Clinton camp’s work with ‘VERY friendly and malleable reporters’ 
#DrainTheSwamp #CrookedHillary
htt…"
15791,"RT @realDonaldTrump: WikiLeaks reveals Clinton camp’s work with ‘VERY friendly and malleable reporters’ 
#DrainTheSwamp #CrookedHillary
htt…"
13205,"RT @wikileaks: No, Hillary, 17 U.S. Intelligence Agencies Did Not Say Russia Hacked Dem E-mails https://t.co/89A61juRJm h/t @fredfleitz htt…"
7429,RT @CloydRivers: A preview of what will happen to America if Hillary is elected President. Merica. https://t.co/0b87ovUkeX
6753,"RT @wikileaks: ""Hillary is not running against Bernie, she is running against herself"" #PodestaEmails https://t.co/nlK2KSe8wa #imWithHer #F…"
6709,"RT @HillaryClinton: ""My vision for America is an America where everyone has a place. This is the America that I know and love."" —Hillary ht…"
6709,"RT @HillaryClinton: ""My vision for America is an America where everyone has a place. This is the America that I know and love."" —Hillary ht…"
6404,RT @goddamnedfrank: This picture of Hillary literally sipping tea while Donald bombs is everything I ever wanted. https://t.co/mKuwXEljMr
5093,RT @HillaryClinton: Newspapers across the country are almost exclusively endorsing Hillary over Trump. https://t.co/gaQgj0Xyjg
4679,"RT @HillaryClinton: ""Let’s go out and prove that love trumps hate!” —Hillary https://t.co/tTgeqxNqYm https://t.co/OmeUg5bDbr"
4059,"RT @AnnCoulter: Hillary IS nasty.  She was in the middle of mocking Trump, as she does whenever she mentions his name.  Such a nasty woman."
3550,RT @seanhannity: .@HillaryClinton is MIA following final Presidential debate https://t.co/mTSM7wTH16
3056,"RT @WayneDupreeShow: .@JamesOKeefeIII To Release BOMBSHELL That Implicates Hillary, DNC Chair; Sets Up Deadman's Switch! https://t.co/lJKMe…"
2859,RT @WeNeedTrump: Insane crowd in Tampa Bay tonight. Tell me again how Hillary has Florida in the bag... #MakeAmericaGreatAgain https://t.co…
2314,RT @WayneDupreeShow: Project Veritas GOLDMINE! Hillary Team Member Says She Was Involved With Illegal Decisions! https://t.co/FU5tkyDp2u vi…
2302,"RT @DiamondandSilk: Obama shouldn't quote Marco Rubio, he should remember what he said: Hillary would do and say anything to get elected. #…"
2129,RT @DanScavino: Hillary's lies vs. actual scene: https://t.co/i7lumnrVUx
1919,"RT @JamesOKeefeIII: Even on College Game day people can't stop talking about the @PVeritas_Action videos! ""Hillary paid me to riot"" #Verita…"
1721,"RT @peaceandjoy101: ALERT! #Hillary is now leading in all BATTLEGROUND STATES!
Libya, Iran, Iraq, and Afghanistan 
#WWTD
#TrumpPence16 http…"
1684,"RT @emigre80: My daughter's first presidential vote was for Barack Obama. Her second will be for Hillary Clinton.

I love that this is her…"
1622,"RT @bfraser747: 💥💥 BENGHAZI

#SidneyBlumenthal blames #Hillary 4 #Benghazi She was in charge, it was preventable, she failed to protect

#P…"
1593,"RT @ericsshadow: With 17 days remaining, Trump is frantically flying from one rally to another, while Hillary is at home filling out change…"
1554,"RT @america_trump: 💥Young voters to Hillary: ""We can't stand you‼️""💥

#MillennialsForTrump 👍🏻

https://t.co/tPLcWIrhnp"
1489,"RT @JaredWyand: She cheated your primary

She called you basement dwellers

She called Bernie a doofus

Hillary is literally Satan

Join us…"
1487,"RT @charliekirk11: For all the Hillary supporters: Do you support her for the positions she really holds privately, or the ones she lies ab…"
1487,"RT @charliekirk11: For all the Hillary supporters: Do you support her for the positions she really holds privately, or the ones she lies ab…"
1425,"RT @JaredWyand: Ex-CIA spook @Evan_McMullin admits he’s only running to sabotage Trump in Utah for Hillary. Don’t do it Mormons.
https://t.…"
1385,"RT @wikileaks: Why is Hilllary Clinton is so soft on Saudi? The #Podesta connection https://t.co/8R86yE6yXK 

More: https://t.co/pjX9tmfINt…"
1385,"RT @wikileaks: Why is Hilllary Clinton is so soft on Saudi? The #Podesta connection https://t.co/8R86yE6yXK 

More: https://t.co/pjX9tmfINt…"
1385,"RT @wikileaks: Why is Hilllary Clinton is so soft on Saudi? The #Podesta connection https://t.co/8R86yE6yXK 

More: https://t.co/pjX9tmfINt…"
1385,"RT @wikileaks: Why is Hilllary Clinton is so soft on Saudi? The #Podesta connection https://t.co/8R86yE6yXK 

More: https://t.co/pjX9tmfINt…"
1385,"RT @wikileaks: Why is Hilllary Clinton is so soft on Saudi? The #Podesta connection https://t.co/8R86yE6yXK 

More: https://t.co/pjX9tmfINt…"
1385,"RT @wikileaks: Why is Hilllary Clinton is so soft on Saudi? The #Podesta connection https://t.co/8R86yE6yXK 

More: https://t.co/pjX9tmfINt…"
